的	〔白勹丶󰁶・rqyy〕
骁	〔󰀊󰀞弋儿・cgaq〕
骐	〔󰀊󰀞艹八・cgaw〕
邕	〔巛口巴󰀅・vkcb〕
珞	〔王夂口󰀝・gtkg〕
琨	〔王日󰁴匕・gjxx〕
杼	〔木󰁻乛亅・scnh〕
柘	〔木石󰀝・sdg〕
棹	〔木󰀥日十・shjf〕
暌	〔日癶一大・jwgd〕
媵	〔月䒑大女・eudv〕
镎	〔钅人一手・qwgr〕
镏	〔钅󰁚丶田・qqyl〕
疝	〔疒山󰀵・umk〕
蚱	〔虫𠂉丨二・jthf〕
蛉	〔虫人丶󰁻・jwyc〕
罄	〔士󰁅几山・fnwm〕
箬	〔⺮艹口・tadk〕
跖	〔口止石󰀝・khdg〕
蹁	〔口止丶艹・khya〕
蹼	〔口止󰅊人・khow〕
鲳	〔󰁢󰀞日日・qgjj〕
鳅	〔󰁢󰀞禾火・qgto〕
骷	〔󰀾月古󰀝・medg〕
髅	〔󰀾月米女・meov〕
墒	〔土亠丷口・fyuk〕
呱	〔口⺁厶󰂃・krcy〕
绻	〔纟䒑大⺋・xudb〕
秕	〔禾󰁴匕󰁀・txxn〕
痉	〔疒ス工󰀌・ucad〕
泅	〔氵囗人󰁶・ilwy〕
孬	〔丆卜女子・dhvb〕
侬	〔亻冖󰀔󰁶・wpey〕
诓	〔讠匚王󰀝・yagg〕
谳	〔讠十冂丶・yfmy〕
掮	〔扌丶尸月・ryne〕
啁	〔口󰀼土口・kmfk〕
崴	〔山厂一丶・mdgy〕
獾	〔犭ノ艹󰁷・qtay〕
忪	〔忄八厶󰁶・nwcy〕
妯	〔女由󰀝・vmg〕
玳	〔王亻󰀁丶・gway〕
刖	〔月刂󰀢・ejh〕
髑	〔󰀾月罒虫・melj〕
讫	〔讠𠂉乙󰁀・ytnn〕
瘸	〔疒力口人・uekw〕
獭	〔犭ノ一贝・qtgm〕
刎	〔勹󰁤刂󰀢・qrjh〕
仉	〔亻几󰁀・wwn〕
伥	〔亻丿七󰂃・wtay〕
僖	〔亻士口口・wfkk〕
羸	〔亠󰄃口丶・ynky〕
讦	〔讠干󰀢・yfh〕
谇	〔讠亠人十・yywf〕
茛	〔艹彐󰀖󰁧・aveu〕
菰	〔艹孑⺁󰂃・abry〕
啵	〔口氵󰅌又・kihc〕
峥	〔山⺈󰁬亅・mqvh〕
獬	〔犭ノ⺈󰀟・qtqg〕
庖	〔广勹巳󰁫・oqnv〕
忤	〔忄𠂉十󰀢・ntfh〕
怊	〔忄刀口󰀝・nvkg〕
懔	〔忄亠囗小・nyli〕
洇	〔氵囗大󰁶・ildy〕
濉	〔氵目亻󰁷・ihwy〕
彘	〔󰅂一𠂉匕・xgtx〕
艴	〔弓󰀯⺈巴・xjqc〕
嫠	〔二󰅇夂女・fitv〕
绾	〔纟宀丨󰁃・xphn〕
缃	〔纟木目󰀝・xshg〕
玑	〔王几󰁀・gwn〕
珉	〔王󰁃󰁐弋・gnan〕
旮	〔九日󰀘・vjf〕
虢	〔爫寸󰅋几・efhw〕
豚	〔月一󰀓󰁶・egey〕
腧	〔月人一刂・ewgj〕
膑	〔月宀󰅍八・eprw〕
硖	〔石一丷大・dgud〕
钣	〔钅⺁又󰁶・qrcy〕
锞	〔钅日木󰁶・qjsy〕
镒	〔钅䒑八皿・quwl〕
镥	〔钅󰁢一日・qqgj〕
镫	〔钅癶一䒑・qwgu〕
耖	〔三󰅇小丿・diit〕
颞	〔耳又又贝・bccm〕
螨	〔虫艹一人・jagw〕
簋	〔⺮彐󰀖皿・tvel〕
舡	〔丿󰁪工󰀝・teag〕
舭	〔丿󰁪󰁴匕・texx〕
袈	〔力口亠󰀔・ekye〕
糗	〔米丿目丶・othy〕
酽	〔西一一厂・sggd〕
踅	〔扌斤口󰁾・rrkh〕
跹	〔口止丿辶・khtp〕
巽	〔巳巳󰁺八・nnaw〕
螂	〔虫丶彐阝・jyvb〕
佞	〔亻二女󰀝・wfvg〕
诠	〔讠人王󰀝・ywgg〕
阽	〔阝󰀥口󰀝・bhkg〕
圹	〔土广ノ・fot〕
埴	〔土十󰀣󰀝・ffhg〕
堙	〔土覀土󰀝・fsfg〕
塄	〔土罒方ノ・flyt〕
蕺	〔艹口耳丶・akby〕
蘼	〔艹广木三・aosd〕
摁	〔扌囗大心・rldn〕
撄	〔扌贝贝女・rmmv〕
撷	〔扌士口贝・rfkm〕
撸	〔扌󰁢一日・rqgj〕
呓	〔口艹乙󰁀・kann〕
噻	〔口宀󰀀土・kpaf〕
帙	〔冂丨󰅎人・mhrw〕
憷	〔忄木木󰁾・nssh〕
沔	〔氵一丨𠃌・ighn〕
沆	〔氵亠几󰁀・iywn〕
沩	〔氵丶丿丶・iyty〕
泔	〔氵艹二󰀝・iafg〕
潴	〔氵犭ノ日・iqtj〕
澉	〔氵乛耳夂・inbt〕
娆	〔女弋丿儿・vatq〕
骅	〔󰀊󰀞亻十・cgwf〕
缣	〔纟䒑󰁬󰁗・xuvo〕
韪	〔日一󰁾丨・jghh〕
栎	〔木丿󰄃小・stni〕
栾	〔亠󰁗木󰁧・yosu〕
桴	〔木爫子󰀝・sebg〕
榀	〔木口口口・skkk〕
椴	〔木亻三又・swdc〕
觋	〔工人人󰁜・awwq〕
炱	〔厶口火󰁧・ckou〕
戆	〔立日十心・ujfn〕
畎	〔田大丶󰁶・ldyy〕
盍	〔土厶皿󰀘・fclf〕
铷	〔钅女口󰀝・qvkg〕
鹗	〔口口二一・kkfg〕
蝻	〔虫十冂十・jfmf〕
笱	〔⺮勹口󰀘・tqkf〕
舢	〔丿󰁪山󰀢・temh〕
羯	〔䒑󰀠日󰄃・ugjn〕
醢	〔西一皿・sgdl〕
麇	〔广󰁃〢禾・onjt〕
佟	〔亻夂󰁦󰁶・wtuy〕
谡	〔讠田八夂・ylwt〕
谶	〔讠人人󰀞・ywwg〕
堞	〔土廿󰄃木・fans〕
莪	〔艹丿扌丶・atry〕
蕻	〔艹󰀍厶八・adcw〕
叻	〔口力ノ・ket〕
哙	〔口人二厶・kwfc〕
咤	〔口宀丿七・kpta〕
淝	〔氵月巴󰁀・iecn〕
逅	〔⺁一口辶・rgkp〕
遑	〔白王辶󰀌・rgpd〕
尕	〔乃小󰁧・biu〕
棂	〔木彐火󰁶・svoy〕
氅	〔⺌冂口乚・imkn〕
腙	〔月宀二小・epfi〕
磙	〔石亠八󰀔・dywe〕
铟	〔钅囗大󰁶・qldy〕
矬	〔𠂉大人土・tdwf〕
稃	〔禾爫子󰀝・tebg〕
瘌	〔疒一口刂・ugkj〕
癯	〔疒目目󰁷・uhhy〕
颉	〔士口丆贝・fkdm〕
趱	〔土󰁾丿贝・fhtm〕
踺	〔口止󰁬廴・khvp〕
扦	〔扌丿十󰀢・rtfh〕
胱	〔月⺌一儿・eigq〕
糌	〔米夂卜日・othj〕
誊	〔䒑大言󰀘・udyf〕
诟	〔讠⺁一口・yrgk〕
陉	〔阝ス工󰀝・bcag〕
隗	〔阝白󰁜厶・brqc〕
郜	〔丿土口阝・tfkb〕
垭	〔土一󰅊一・fgog〕
埘	〔土日寸󰁶・fjfy〕
荬	〔艹乛󰁦大・anud〕
莼	〔艹纟一乚・axgn〕
菟	〔艹⺈口丶・aqky〕
葩	〔艹白巴󰀅・arcb〕
摺	〔扌羽白󰀝・rnrg〕
甙	〔弋艹二丶・aafy〕
啭	〔口车二丶・klfy〕
嗫	〔口耳又又・kbcc〕
嘧	〔口宀心山・kpnm〕
馊	〔⺈󰁐臼又・qnec〕
悌	〔忄丷弓丿・nuxt〕
慵	〔忄广󰁬丨・novh〕
洚	〔氵夂󰀂丨・itah〕
潋	〔氵人一夂・iwgt〕
蹇	〔宀󰀀八󰁾・pawh〕
椐	〔木尸古󰀝・sndg〕
赉	〔一米贝󰁧・gomu〕
煳	〔火古月󰀝・odeg〕
戽	〔丶尸󰁦十・ynuf〕
愆	〔彳氵一心・tign〕
铹	〔钅艹冖力・qape〕
锴	〔钅󰁴匕白・qxxr〕
镆	〔钅艹日大・qajd〕
窨	〔宀八立日・pwuj〕
窳	〔宀八⺁󰂃・pwry〕
褊	〔衤󰁧丶艹・puya〕
褫	〔衤󰁧⺁几・purw〕
篁	〔⺮白王󰀘・trgf〕
舸	〔丿󰁪丁口・tesk〕
糅	〔米󰁻乛木・ocns〕
趔	〔土󰁾一刂・fhgj〕
龃	〔止人凵一・hwbg〕
縻	〔广木木小・ossi〕
苌	〔艹丿七󰂃・atay〕
荽	〔艹爫女󰀘・aevf〕
搠	〔扌䒑凵月・rube〕
渌	〔氵󰁭氺󰁶・iviy〕
灞	〔氵󰀙廿月・ifae〕
骛	〔󰁻乛亅一・cnhg〕
齑	〔文󰀯丨一・yjhg〕
硐	〔石冂一口・dmgk〕
聱	〔主󰁡夂耳・gqtb〕
虻	〔虫亠󰄃󰁀・jynn〕
蝣	〔虫方𠂉子・jytb〕
螳	〔虫⺌冖土・jipf〕
筘	〔⺮扌口󰀘・trkf〕
篌	〔⺮亻󰁄大・twnd〕
麋	〔广󰁃〢米・onjo〕
鹫	〔亠口小一・ykig〕
蹿	〔口止宀丨・khph〕
娠	〔女厂二󰀖・vdfe〕
伛	〔亻匚乂󰁶・wary〕
唏	〔口乂丨・krdh〕
嘭	〔口士口彡・kfke〕
幄	〔冂丨尸土・mhnf〕
徉	〔彳䒑󰀟󰀢・tugh〕
溆	〔氵人一又・iwgc〕
枧	〔木ㄇ󰁜󰁀・smqn〕
殒	〔一夕口贝・gqkm〕
氆	〔丿二乚日・tfnj〕
钪	〔钅亠几󰁀・qywn〕
铼	〔钅一米󰁶・qgoy〕
秭	〔禾丿ㄅ丿・ttnt〕
鹈	〔丷弓丨一・uxhg〕
瘊	〔疒亻󰁄大・uwnd〕
褡	〔衤󰁧艹口・puak〕
螫	〔土󰁖夂虫・fotj〕
赧	〔土󰁖卩又・fobc〕
趼	〔口止一廾・khga〕
雏	〔⺈彐亻󰁷・qvwy〕
珐	〔王土厶󰁶・gfcy〕
疹	〔疒人彡󰀏・uwee〕
芈	〔丨一󰀥󰀟・hghg〕
伉	〔亻亠几󰁀・wywn〕
倥	〔亻宀八工・wpwa〕
诼	〔讠一󰀓丶・ygey〕
邬	〔勹ㄅ󰀞阝・qngb〕
郄	〔乂厶阝・rdcb〕
荑	〔艹一弓人・agxw〕
莘	〔艹立十󰀬・aufj〕
蓁	〔艹三人禾・adwt〕
辔	〔车纟纟口・lxxk〕
岫	〔山由󰀝・mmg〕
峄	〔山又󰀟󰀢・mcgh〕
崞	〔山亠口子・mykb〕
忝	〔一大⺗󰁧・gdnu〕
洫	〔氵丿皿󰀝・itlg〕
洳	〔氵女口󰀝・ivkg〕
湔	〔氵䒑月刂・iuej〕
濮	〔氵亻󰅊人・iwow〕
瀹	〔氵人一艹・iwga〕
迨	〔厶口辶󰀌・ckpd〕
缋	〔纟口丨贝・xkhm〕
枥	〔木厂力ノ・sdet〕
棼	〔木木八刀・sswv〕
殍	〔一夕爫子・gqeb〕
昱	〔日立󰀘・juf〕
赅	〔贝亠ㄥ人・mynw〕
擘	〔尸口立手・nkur〕
旒	〔方𠂉亠󰀸・ytyk〕
燹	〔一󰀓一火・gego〕
砭	〔石丿之󰁶・dtpy〕
碓	〔石亻󰁷󰀝・dwyg〕
黻	〔󰅊一丷丶・oguy〕
睐	〔目一米󰁶・hgoy〕
畀	〔田一󰀯󰀬・lgjj〕
钐	〔钅彡ノ・qet〕
锝	〔钅日一寸・qjgf〕
镛	〔钅广󰁬丨・qovh〕
鸷	〔扌九丶一・rvyg〕
疬	〔疒厂力󰀏・udee〕
癍	〔疒王文王・ugyg〕
颡	〔又又又贝・cccm〕
蜢	〔虫子皿󰀝・jblg〕
衾	〔人丶乛󰀔・wyne〕
骶	〔󰀾月󰁚丶・meqy〕
啄	〔口一󰀓丶・kgey〕
鳗	〔󰁢󰀞日又・qgjc〕
佰	〔亻丆日󰀝・wdjg〕
妊	〔女丿士󰀝・vtfg〕
兕	〔丨󰁎󰀽儿・hnmq〕
诮	〔讠⺌月󰀝・yieg〕
谲	〔讠󰁻乛口・ycnk〕
邶	〔丬󰁴阝󰀢・uxbh〕
鄢	〔一止一阝・ghgb〕
圯	〔土巳󰁀・fnn〕
茔	〔艹冖土󰀘・apff〕
茕	〔艹冖⺄十・apnf〕
茈	〔艹止匕󰀅・ahxb〕
蕨	〔艹厂䒑人・aduw〕
抟	〔扌二󰁓丶・rfny〕
摭	〔扌广廿灬・roao〕
囹	〔囗人丶󰁻・lwyc〕
帼	〔冂丨囗丶・mhly〕
愎	〔忄𠂉日夂・ntjt〕
汜	〔氵巳󰁀・inn〕
洧	〔氵月󰀝・ideg〕
洙	〔氵󰅎󰅇󰁶・iriy〕
澍	〔氵士口寸・ifkf〕
逡	〔厶八夂辶・cwtp〕
遨	〔主󰁡夂辶・gqtp〕
邂	〔⺈月丨辶・qehp〕
妗	〔女人丶乛・vwyn〕
嬖	〔尸口立女・nkuv〕
绡	〔纟⺌月󰀝・xieg〕
甾	〔巛田󰀘・vlf〕
梃	〔木丿士廴・stfp〕
桷	〔木⺈月丨・sqeh〕
榧	〔木匚丨三・sahd〕
辋	〔车冂䒑󰄃・lmun〕
昕	〔日斤󰀢・jrh〕
炷	〔火丶王󰀝・oygg〕
祓	〔礻󰁶丶・pydy〕
碇	〔石宀一󰁾・dpgh〕
罟	〔罒古󰀘・ldf〕
钗	〔钅又丶󰁶・qcyy〕
铊	〔钅宀匕󰁀・qpxn〕
铤	〔钅丿士廴・qtfp〕
镡	〔钅覀日十・qsjf〕
鸩	〔冖󰁜勹一・pqqg〕
鹆	〔八人口一・wwkg〕
鹉	〔二止󰁒一・fhng〕
鹧	〔广廿灬一・oaog〕
瘐	〔疒臼人󰀦・uewi〕
瘰	〔疒田ㄠ小・ulxi〕
癃	〔疒阝夂主・ubtg〕
耨	〔三󰅇厂寸・didf〕
聒	〔耳丿古󰀝・btdg〕
蚶	〔虫艹二󰀝・jafg〕
蟑	〔虫立日十・jujf〕
笪	〔⺮日一󰀘・tjgf〕
羝	〔䒑󰀠󰁚丶・ugqy〕
粑	〔米巴󰁀・ocn〕
糈	〔米乛󰁾月・onhe〕
蹰	〔口止厂寸・khdf〕
躐	〔口止巛󰁒・khvn〕
鲆	〔󰁢󰀞一十・qggf〕
鳇	〔󰁢󰀞白王・qgrg〕
挛	〔亠󰁗手󰀬・yorj〕
睥	〔目白丿十・hrtf〕
耪	〔三󰅇亠方・diyy〕
靥	〔厂大丶三・ddyd〕
鄞	〔廿口主阝・akgb〕
酃	〔󰀙口口阝・fkkb〕
埒	〔土爫寸󰁶・fefy〕
夼	〔大川󰀬・dkj〕
摞	〔扌田ㄠ小・rlxi〕
擤	〔扌丿目󰀯・rthj〕
哂	〔口西󰀝・ksg〕
嗝	〔口一口丨・kgkh〕
噱	〔口󰅋七󰀓・khae〕
嚓	〔口宀󰁯小・kpwi〕
帏	〔冂丨二丨・mhfh〕
崮	〔山囗古󰀘・mldf〕
狴	〔犭ノ󰁴土・qtxf〕
愦	〔忄口丨贝・nkhm〕
泖	〔氵󰁚丿卩・iqtb〕
骠	〔󰀊󰀞覀小・cgsi〕
绂	〔纟又丶・xdcy〕
缒	〔纟亻󰁃辶・xwnp〕
犋	〔牜󰀣八󰁶・thwy〕
塍	〔月䒑大土・eudf〕
锒	〔钅丶彐󰀖・qyve〕
锫	〔钅立口󰀝・qukg〕
锿	〔钅亠口󰀔・qyke〕
痦	〔疒五口󰀌・ugkd〕
聃	〔耳冂土󰀝・bmfg〕
蚬	〔虫ㄇ󰁜󰁀・jmqn〕
蟛	〔虫士口彡・jfke〕
笤	〔⺮刀口󰀘・tvkf〕
鲚	〔󰁢󰀞文󰀯・qgyj〕
蹭	〔口止丷日・khuj〕
佾	〔亻八月󰀝・wweg〕
侪	〔亻文󰀯󰀢・wyjh〕
倬	〔亻󰀥日十・whjf〕
傥	〔亻⺌冖儿・wipq〕
谮	〔讠󰀂󰁜日・yaqj〕
谵	〔讠⺈厂言・yqdy〕
陧	〔阝日土󰀝・bjfg〕
邴	〔一冂人阝・gmwb〕
垡	〔亻戈土󰀘・waff〕
坫	〔土󰀥口󰀝・fhkg〕
苣	〔艹匚󰁃󰀘・aanf〕
蒌	〔艹米女󰀘・aovf〕
捭	〔扌白丿十・rrtf〕
吣	〔口心󰁶・kny〕
囵	〔囗人匕󰁫・lwxv〕
犰	〔犭ノ九󰁀・qtvn〕
犴	〔犭ノ干󰀢・qtfh〕
猓	〔犭ノ日木・qtjs〕
獐	〔犭ノ立十・qtuf〕
庑	〔广二󰁜󰁫・ofqv〕
阌	〔门爫冖又・uepc〕
嬗	〔女亠囗一・vylg〕
缱	〔纟口丨辶・xkhp〕
殁	〔一夕几又・gqwc〕
旰	〔日干󰀢・jfh〕
牾	〔牜五口󰀝・tgkg〕
彀	〔士冖一又・fpgc〕
旃	〔方𠂉󰀼亠・ytmy〕
畹	〔田宀夕⺋・lpqb〕
钽	〔钅日一󰀝・qjgg〕
铑	〔钅土丿匕・qftx〕
铪	〔钅人一口・qwgk〕
锛	〔钅大十廾・qdfa〕
镞	〔钅方𠂉大・qytd〕
鸱	〔󰁚󰀁丶一・qayg〕
蚩	〔凵丨一虫・bhgj〕
蜍	〔虫人一木・jwgs〕
蜴	〔虫日勹󰁤・jjqr〕
螬	〔虫一ㄇ日・jgmj〕
襞	〔尸口立󰀔・nkue〕
翳	〔匚𠂉大羽・atdn〕
貊	〔豸丆日󰀝・edjg〕
龈	〔止人凵󰀖・hwbe〕
龊	〔止人凵󰁾・hwbh〕
鎏	〔氵亠厶金・iycq〕
飨	〔󰁲丿人󰀖・xtwe〕
仟	〔亻丿十󰀢・wtfh〕
嘏	〔古󰁃丨又・dnhc〕
侑	〔亻月󰀝・wdeg〕
倨	〔亻尸古󰀝・wndg〕
偬	〔亻勹󰁤心・wqrn〕
龠	〔人一口艹・wgka〕
冁	〔丷󰅐尸󰀖・ulne〕
诖	〔讠土土󰀝・yffg〕
谫	〔讠䒑月刀・yuev〕
谯	〔讠亻󰁷灬・ywyo〕
劢	〔一󰁡力ノ・gqet〕
鬯	〔󰁘凵匕󰀅・obxb〕
坌	〔八刀土󰀘・wvff〕
垓	〔土亠ㄥ人・fynw〕
堀	〔土尸凵山・fnbm〕
艿	〔艹乃󰁣・abr〕
莠	〔艹禾乃󰁣・atbr〕
荻	〔艹犭ノ火・aqto〕
蓊	〔艹八厶羽・awcn〕
蕤	〔艹一󰀓主・ageg〕
掊	〔扌立口󰀝・rukg〕
搌	〔扌尸󰁺󰀖・rnae〕
呙	〔口冂人󰁧・kmwu〕
唿	〔口勹󰁤心・kqrn〕
岵	〔山古󰀝・mdg〕
崂	〔山艹冖力・mape〕
嵯	〔山䒑󰀠工・muga〕
嵴	〔山󰀪人月・miwe〕
獠	〔犭ノ大小・qtdi〕
怄	〔忄匚乂󰁶・nary〕
怩	〔忄尸匕󰁀・nnxn〕
悛	〔忄厶八夂・ncwt〕
悱	〔忄丨三三・nhdd〕
闳	〔门厶󰀦・udci〕
阋	〔门臼儿󰁫・ueqv〕
阗	〔门十󰀣八・ufhw〕
泺	〔氵丿󰄃小・itni〕
淦	〔氵金󰀝・iqg〕
滏	〔氵八乂䒑・iwru〕
澌	〔氵艹三斤・iadr〕
瀣	〔氵󰀥夕一・ihqg〕
羼	〔尸䒑󰀟󰀟・nugg〕
妁	〔女勹丶󰁶・vqyy〕
绁	〔纟廿󰄃󰁀・xann〕
缍	〔纟丿十一・xtfg〕
珏	〔王王丶󰁶・ggyy〕
璁	〔王丿囗心・gtln〕
桡	〔木弋丿儿・satq〕
槎	〔木䒑󰀠工・suga〕
樗	〔木󰀙二ㄅ・sffn〕
辚	〔车米夕丨・loqh〕
晷	〔日夂卜口・jthk〕
赇	〔贝一氺丶・mgiy〕
牝	〔牜匕󰁀・txn〕
胨	〔月󰀂小󰁶・eaiy〕
胂	〔月日丨󰀢・ejhh〕
朐	〔月勹口󰀝・eqkg〕
胼	〔月䒑廾󰀢・euah〕
欷	〔乂冂人・rdmw〕
毂	〔士冖车又・fplc〕
烊	〔火䒑󰀟󰀢・ough〕
熳	〔火日罒又・ojlc〕
燔	〔火丿米田・otol〕
爨	〔󰀗ㄇ一火・emgo〕
恁	〔亻丿士心・wtfn〕
畛	〔田人彡ノ・lwet〕
詈	〔罒言󰀘・lyf〕
钕	〔钅女󰀝・qvg〕
锱	〔钅巛田󰀝・qvlg〕
镳	〔钅广󰁃灬・qono〕
鸶	〔󰁲󰁲一一・xxgg〕
鹚	〔䒑ㄠㄠ一・uxxg〕
疖	〔疒ㄗ󰀵・ubk〕
疱	〔疒勹巳󰁫・uqnv〕
疰	〔疒丶王󰀌・uygd〕
虬	〔虫乚󰁀・jnn〕
蚪	〔虫󰁦十󰀢・jufh〕
箨	〔⺮扌又󰀟・trcg〕
簏	〔⺮广󰁃匕・tonx〕
艋	〔丿󰁪子皿・tebl〕
粞	〔米西󰀝・osg〕
醅	〔西一立口・sguk〕
跞	〔口止丿小・khti〕
蹀	〔口止廿木・khas〕
貔	〔豸丿囗匕・etlx〕
雠	〔亻󰁷讠󰁷・wyyy〕
鳕	〔󰁢󰀞󰀙彐・qgfv〕
鞫	〔廿口十言・akfy〕
魇	〔厂大丶厶・ddyc〕
魉	〔白󰁜厶人・rqcw〕
餍	〔厂大丶󰀖・ddye〕
滗	〔氵⺮丿乚・ittn〕
蠹	〔一口丨虫・gkhj〕
僳	〔亻覀米󰁶・wsoy〕
囟	〔丿囗乂󰀦・tlri〕
刳	〔大二ㄅ刂・dfnj〕
勖	〔曰目力ノ・jhet〕
叟	〔臼丨又󰁧・ehcu〕
矍	〔目目亻又・hhwc〕
蕹	〔艹亠󰁲󰁷・ayxy〕
拶	〔扌巛夕󰁶・rvqy〕
吖	〔口丷丨󰀢・kuhh〕
哐	〔口匚王󰀝・kagg〕
咩	〔口䒑󰀟󰀢・kugh〕
哞	〔口厶丿󰀟・kctg〕
喵	〔口艹田󰀝・kalg〕
啶	〔口宀一󰁾・kpgh〕
徜	〔彳⺌冂口・timk〕
狯	〔犭ノ人厶・qtwc〕
舛	〔夕󰀂丨󰀢・qahh〕
悭	〔忄〢又土・njcf〕
阄	〔门⺈日乚・uqjn〕
洌	〔氵一夕刂・igqj〕
淠	〔氵田一󰀯・ilgj〕
滹	〔氵󰅋七󰀛・ihaf〕
搴	〔宀󰀀八手・pawr〕
遢	〔日羽辶󰀌・jnpd〕
邋	〔巛囗乂辶・vlrp〕
妲	〔女日一󰀝・vjgg〕
玎	〔王丁󰀢・gsh〕
琮	〔王宀二小・gpfi〕
枨	〔木丿七󰂃・stay〕
榉	〔木󰀧一󰀟・sigg〕
檫	〔木宀󰁯小・spwi〕
肼	〔月二󰀯󰀢・efjh〕
朊	〔月二儿󰁀・efqn〕
腌	〔月大日乚・edjn〕
膦	〔月米夕丨・eoqh〕
碜	〔石厶大彡・dcde〕
罱	〔罒十冂十・lfmf〕
钏	〔钅川󰀢・qkh〕
疴	〔疒丁口󰀌・uskd〕
瘘	〔疒米女󰀌・uovd〕
裥	〔衤󰁧门日・puuj〕
耢	〔三󰅇艹力・diae〕
耵	〔耳丁󰀢・bsh〕
聩	〔耳口丨贝・bkhm〕
蚋	〔虫冂人󰁶・jmwy〕
蛴	〔虫文󰀯󰀢・jyjh〕
罂	〔贝贝󰅎山・mmrm〕
艨	〔丿󰁪艹󰀓・teae〕
跸	〔口止󰁴十・khxf〕
跣	〔口止丿儿・khtq〕
跤	〔口止亠乂・khyr〕
鞯	〔廿口十子・akfb〕
蓍	〔艹土丿日・aftj〕
仡	〔亻𠂉乙󰁀・wtnn〕
鲨	〔氵小丿一・iitg〕
熵	〔火亠丷口・oyuk〕
岿	〔山リ彐󰀘・mjvf〕
亍	〔一丁󰀬・gsj〕
爻	〔乂乂󰁧・rru〕
仵	〔亻𠂉十󰀢・wtfh〕
傩	〔亻又亻󰁷・wcwy〕
僮	〔亻立日土・wujf〕
訇	〔勹言󰀌・qyd〕
隰	〔阝日ㄠ灬・bjxo〕
邡	〔方阝󰀢・ybh〕
凼	〔水凵󰀵・ibk〕
墀	〔土尸氺󰀟・fnig〕
苴	〔艹󰀐一󰀘・aegf〕
荨	〔艹彐寸󰁧・avfu〕
蓐	〔艹厂二寸・adff〕
蓰	〔艹彳止󰁾・athh〕
奁	〔大匚乂󰁧・daru〕
捃	〔扌󰁬丿口・rvtk〕
揸	〔扌木日一・rsjg〕
唳	〔口丶尸丶・kyny〕
岽	〔山󰀂小󰁧・maiu〕
峤	〔山丿大󰀯・mtdj〕
嵛	〔山人一刂・mwgj〕
嶷	〔山匕𠂉󰁾・mxth〕
狃	〔犭ノ󰁈二・qtnf〕
猕	〔犭ノ弓小・qtxi〕
馑	〔⺈󰁐廿主・qnag〕
怿	〔忄又󰀟󰀢・ncgh〕
阃	〔门囗木󰀦・ulsi〕
阍	〔门󰁚弋日・uqaj〕
涑	〔氵一口󰅇・igki〕
濞	〔氵丿目󰀯・ithj〕
濠	〔氵亠口󰀓・iyke〕
瀵	〔氵米田八・iolw〕
逦	〔一冂丶辶・gmyp〕
逯	〔󰁭氺辶󰀦・vipi〕
屣	〔尸彳止󰁾・nthh〕
嫖	〔女覀二小・vsfi〕
嫘	〔女田ㄠ小・vlxi〕
驽	〔女又󰀊一・vccg〕
骓	〔󰀊󰀞亻󰁷・cgwy〕
绗	〔纟彳一丁・xtgs〕
珈	〔王力口󰀝・gekg〕
瑗	〔王爫一又・gegc〕
璩	〔王󰅋七󰀓・ghae〕
榇	〔木立木󰁶・susy〕
殇	〔一夕𠂉󰁤・gqtr〕
殪	〔一夕士䒑・gqfu〕
晔	〔日亻ヒ十・jwxf〕
赙	〔贝一月寸・mgef〕
毹	〔人一月乚・wgen〕
歃	〔丿十臼人・tfew〕
觳	〔士冖一又・fpgc〕
旄	〔方𠂉丿乚・yttn〕
祧	〔礻󰁶儿󰀪・pyqi〕
禊	〔礻󰁶三大・pydd〕
怼	〔又寸心󰁧・cfnu〕
憝	〔亠口孑心・ykbn〕
斫	〔石斤󰀢・drh〕
碥	〔石丶尸艹・dyna〕
黼	〔󰅊一丷丶・oguy〕
眇	〔目小丿ノ・hitt〕
眦	〔目止匕󰁀・hhxn〕
铒	〔钅耳󰀝・qbg〕
锖	〔钅主月󰀝・qgeg〕
锘	〔钅艹口・qadk〕
锸	〔钅丿十臼・qtfe〕
镝	〔钅亠丷古・qyud〕
矧	〔𠂉大弓丨・tdxh〕
痤	〔疒人人土・uwwf〕
衩	〔衤󰁧又丶・pucy〕
裣	〔衤󰁧人一・puwg〕
聍	〔耳宀丁󰀢・bpsh〕
蝽	〔虫三人日・jdwj〕
螽	〔夂󰁦虫虫・tujj〕
蟊	〔󰁻乛亅虫・cnhj〕
缶	〔󰅎山󰀵・rmk〕
笄	〔⺮一廾󰀬・tgaj〕
箢	〔⺮宀夕⺋・tpqb〕
舨	〔丿󰁪⺁又・terc〕
舻	〔丿󰁪󰀥尸・tehn〕
舾	〔丿󰁪西󰀝・tesg〕
艟	〔丿󰁪立土・teuf〕
醑	〔西一乛月・sgne〕
醭	〔西一󰅊人・sgow〕
醯	〔西一亠皿・sgyl〕
趺	〔口止二人・khfw〕
跗	〔口止亻寸・khwf〕
踝	〔口止日木・khjs〕
踬	〔口止⺁贝・khrm〕
踣	〔口止立口・khuk〕
躞	〔口止言又・khyc〕
霪	〔󰀙氵爫士・fief〕
鋈	〔氵丿大金・itdq〕
鲠	〔󰁢󰀞一乂・qggr〕
鳏	〔󰁢󰀞罒󰀫・qgli〕
鳘	〔𠂉母夂一・txtg〕
鳢	〔󰁢󰀞ㄇ䒑・qgmu〕
骰	〔󰀾月几又・mewc〕
